scen,fuel,rx,WS,time,TFL,TFC,ROS,ROSeq,HFI,Area,BUI,FFMC,LB,FROS,CFB,a,Prob
PIMA1control12,PIMA,1control,12,2,2.53,4.12058177246537,3.2866174948544,17.4,4062.83284270885,0.000345429788575763,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.953355029728591
PIMA1control12,PIMA,1control,12,4,2.53,4.12058177246537,5.95243875077299,17.4,7358.25318544552,0.00484138112616487,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.953171637059977
PIMA1control12,PIMA,1control,12,6,2.53,4.12058177246537,8.11472352520557,17.4,10031.2145539674,0.0215682572065522,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.952483299885232
PIMA1control12,PIMA,1control,12,8,2.53,4.12058177246537,9.86858284167794,17.4,12199.2907732448,0.0602527950449327,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.950854372757589
PIMA1control12,PIMA,1control,12,10,2.53,4.12058177246537,11.2911625769416,17.4,13957.8476113466,0.130582444291276,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.947756469597917
PIMA1control12,PIMA,1control,12,12,2.53,4.12058177246537,12.4450368268178,17.4,15384.2375718737,0.241363045335897,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.942500186932649
PIMA1control12,PIMA,1control,12,14,2.53,4.12058177246537,13.380960312527,17.4,16541.2023485644,0.400170628569437,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.934094480078151
PIMA1control12,PIMA,1control,12,16,2.53,4.12058177246537,14.1401008958237,17.4,17479.6326036457,0.613281021781064,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.92101646354949
PIMA1control12,PIMA,1control,12,18,2.53,4.12058177246537,14.7558504031367,17.4,18240.8064625173,0.885745463546937,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.900856612817197
PIMA1control12,PIMA,1control,12,20,2.53,4.12058177246537,15.2552934102667,17.4,18858.2051879868,1.22153373647014,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.869817055278662
PIMA1control12,PIMA,1control,12,22,2.53,4.12058177246537,15.6603985941258,17.4,19358.9858989491,1.62369961473711,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.822171915435093
PIMA1control12,PIMA,1control,12,24,2.53,4.12058177246537,15.9889850547361,17.4,19765.17611303,2.09454390471303,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.750268089441477
PIMA1control12,PIMA,1control,12,26,2.53,4.12058177246537,16.255506112472,17.4,20094.6426567755,2.63576272645187,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.646689809054401
PIMA1control12,PIMA,1control,12,28,2.53,4.12058177246537,16.4716850569262,17.4,20361.8775622081,3.24857595348706,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.510860440169187
PIMA1control12,PIMA,1control,12,30,2.53,4.12058177246537,16.6470308116757,17.4,20578.6355184781,3.93383483108428,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.358023739205537
PIMA1control12,PIMA,1control,12,35,2.53,4.12058177246537,16.9538490063084,17.4,20957.9163565574,5.96717325151159,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.0797601589249094
PIMA1control12,PIMA,1control,12,40,2.53,4.12058177246537,17.1356456117215,17.4,21182.6486901257,8.46051612640156,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.00876284284962127
PIMA1control12,PIMA,1control,12,45,2.53,4.12058177246537,17.2433641444484,17.4,21315.8075968791,11.4141317419029,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.000591257597694943
PIMA1control12,PIMA,1control,12,50,2.53,4.12058177246537,17.3071897712606,17.4,21394.7072112167,14.8267827007129,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.0000260054352888182
PIMA1control12,PIMA,1control,12,55,2.53,4.12058177246537,17.3450078749318,17.4,21441.4569878137,18.6968838285852,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.000000752008801384102
PIMA1control12,PIMA,1control,12,60,2.53,4.12058177246537,17.3674159426112,17.4,21469.1572703845,23.0229824110668,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.0000000143236831690639
PIMA1control25,PIMA,1control,25,2,2.53,4.12058177246537,3.89105289620693,20.6,4810.02049194266,0.000408957106014984,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.953352443173527
PIMA1control25,PIMA,1control,25,4,2.53,4.12058177246537,7.0471401302255,20.6,8711.49515058493,0.00573175006890784,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.95313523710807
PIMA1control25,PIMA,1control,25,6,2.53,4.12058177246537,9.60708647236981,20.6,11876.0356213637,0.0255348332445388,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.952318664389823
PIMA1control25,PIMA,1control,25,8,2.53,4.12058177246537,11.6834946286532,20.6,14442.8385016576,0.0713337688462996,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.950378101458113
PIMA1control25,PIMA,1control,25,10,2.53,4.12058177246537,13.3676982232757,20.6,16524.8080915943,0.154597606459787,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.946656997430785
PIMA1control25,PIMA,1control,25,12,2.53,4.12058177246537,14.7337792317498,20.6,18213.5226425631,0.285751651374683,40,87,1.66279922358523,3.30767534768342,0.9,0.104673372559999,0.940257699433823
